Handle,Title,Description,Status,Thumbnail,Image 1,Image 2,Image 3,Profile Name,Option 1 Name,Option 1 Value,Variant SKU,Variant Inventory Quantity,Variant Manage Inventory,Variant Allow Backorder,Variant Price [INR]
"fine-knit-cotton-blend-t-shirt-4","Fine knit cotton blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37061436-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-004?wid=2048&hei=2867&fit=crop","Default","Size","XL","FINE-KNIT-COTTON-BLEND-T-SHIRT-4-XL",100,TRUE,FALSE,2890
"fine-knit-cotton-blend-t-shirt-4","Fine knit cotton blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37061436-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-004?wid=2048&hei=2867&fit=crop","Default","Size","XXL","FINE-KNIT-COTTON-BLEND-T-SHIRT-4-XXL",100,TRUE,FALSE,2890
"100-cotton-printed-t-shirt-5","100% cotton printed t-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37034471-01-900?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37034471-01-023?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37034471-01-030?wid=2048&hei=2867&fit=crop","","Default","Size","S","100-COTTON-PRINTED-T-SHIRT-5-S",100,TRUE,FALSE,3899
"100-cotton-printed-t-shirt-5","100% cotton printed t-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37034471-01-900?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37034471-01-023?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37034471-01-030?wid=2048&hei=2867&fit=crop","","Default","Size","M","100-COTTON-PRINTED-T-SHIRT-5-M",100,TRUE,FALSE,3899
"100-cotton-printed-t-shirt-5","100% cotton printed t-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37034471-01-900?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37034471-01-023?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37034471-01-030?wid=2048&hei=2867&fit=crop","","Default","Size","L","100-COTTON-PRINTED-T-SHIRT-5-L",100,TRUE,FALSE,3899
"100-cotton-printed-t-shirt-5","100% cotton printed t-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37034471-01-900?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37034471-01-023?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37034471-01-030?wid=2048&hei=2867&fit=crop","","Default","Size","XL","100-COTTON-PRINTED-T-SHIRT-5-XL",100,TRUE,FALSE,3899
"100-cotton-printed-t-shirt-5","100% cotton printed t-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37034471-01-900?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37034471-01-023?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37034471-01-030?wid=2048&hei=2867&fit=crop","","Default","Size","XXL","100-COTTON-PRINTED-T-SHIRT-5-XXL",100,TRUE,FALSE,3899
"cotton-blend-striped-knit-polo-6","Cotton blend striped knit polo","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37044425-08-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-004?wid=2048&hei=2867&fit=crop","Default","Size","S","COTTON-BLEND-STRIPED-KNIT-POLO-6-S",100,TRUE,FALSE,4299
"cotton-blend-striped-knit-polo-6","Cotton blend striped knit polo","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37044425-08-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-004?wid=2048&hei=2867&fit=crop","Default","Size","M","COTTON-BLEND-STRIPED-KNIT-POLO-6-M",100,TRUE,FALSE,4299
"cotton-blend-striped-knit-polo-6","Cotton blend striped knit polo","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37044425-08-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-004?wid=2048&hei=2867&fit=crop","Default","Size","L","COTTON-BLEND-STRIPED-KNIT-POLO-6-L",100,TRUE,FALSE,4299
"cotton-blend-striped-knit-polo-6","Cotton blend striped knit polo","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37044425-08-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-004?wid=2048&hei=2867&fit=crop","Default","Size","XL","COTTON-BLEND-STRIPED-KNIT-POLO-6-XL",100,TRUE,FALSE,4299
"cotton-blend-striped-knit-polo-6","Cotton blend striped knit polo","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37044425-08-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37044425-08-004?wid=2048&hei=2867&fit=crop","Default","Size","XXL","COTTON-BLEND-STRIPED-KNIT-POLO-6-XXL",100,TRUE,FALSE,4299
"100-cotton-printed-t-shirt-7","100% cotton printed t-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37054468-01-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-004?wid=2048&hei=2867&fit=crop","Default","Size","S","100-COTTON-PRINTED-T-SHIRT-7-S",100,TRUE,FALSE,3299
"100-cotton-printed-t-shirt-7","100% cotton printed t-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37054468-01-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-004?wid=2048&hei=2867&fit=crop","Default","Size","M","100-COTTON-PRINTED-T-SHIRT-7-M",100,TRUE,FALSE,3299
"100-cotton-printed-t-shirt-7","100% cotton printed t-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37054468-01-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-004?wid=2048&hei=2867&fit=crop","Default","Size","L","100-COTTON-PRINTED-T-SHIRT-7-L",100,TRUE,FALSE,3299
"100-cotton-printed-t-shirt-7","100% cotton printed t-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37054468-01-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37054468-01-004?wid=2048&hei=2867&fit=crop","Default","Size","XL","100-COTTON-PRINTED-T-SHIRT-7-XL",100,TRUE,FALSE,3299
